"code_variable";"label";"label_pergunta";"categoria";"subcategoria";"is_dashboard";"is_tabela";"is_absolute";"is_average";"is_percentage"
"1.5.1.AB";"Aeromóvel (capacidade média)";"Qual a capacidade média de um aeromóvel no município?";"Frota";"Aeromóvel";"1";NA;"0";"1";"0"
"1.5.1.AC";"Frota de Bicicletas Compartilhadas";"Qual a frota de bicicletas compartilhadas operacionais no município?";"Frota";"Bicicleta";"1";"1";"1";"0";"0"
"1.5.2.A";"Frota de Veículos Fretados para Passageiros";"Qual a frota de veículos para fretamento para transporte de passageiro no município?";"Frota";"Ônibus";"1";"1";"1";"0";"0"
"1.5.2.B";"Frota de Veículos Escolares";"Qual a frota de veículos para transporte escolar no município?";"Frota";"Ônibus";"1";"1";"1";"0";"0"
"1.6.1.A";"Extensão de Vias Exclusivas para Pedestres";"Qual a quilometragem de vias dedicadas onde apenas pedestres podem circular (permanente)?";"Infraestrutura";"Pedestres";"0";"1";"1";"0";"0"
"1.6.1.B";"Extensão de Vias Exclusivas Temporárias para Pedestres";"Qual a quilometragem de vias dedicadas onde apenas pedestres podem circular (temporária)?";"Infraestrutura";"Pedestres";"0";"1";"1";"0";"0"
"1.6.1.C";"Extensão de Calçadas para Pedestres";"Qual a quilometragem de calçadas no município (parte da via reservada ao trânsito de pedestres)?";"Infraestrutura";"Pedestres";"0";"1";"1";"0";"0"
"1.6.1.D";"Extensão de Vias Exclusivas para BRT";"Qual a quilometragem de vias dedicadas exclusivas para BRTs no município?";"Frota";"Ônibus";"0";"1";"1";"0";"0"
"1.6.1.E";"Extensão de Corredores Exclusivos de Ônibus";"Qual a quilometragem de vias dedicadas exclusivamente a corredores de ônibus no município?";"Frota";"Ônibus";"0";"1";"1";"0";"0"
"1.6.1.F";"Extensão de Faixas Exclusivas";"Qual a quilometragem de vias dedicadas a faixas exclusivas no município?";"Frota";"Ônibus";"0";"1";"1";"0";"0"
"1.6.1.G";"Extensão de Ciclovias Exclusivas";"Qual a quilometragem de vias dedicadas exclusivamente a ciclovias no município?";"Frota";"Bicicleta";"0";"1";"1";"0";"0"
"1.6.1.H";"Extensão de Ciclofaixas Exclusivas";"Qual a quilometragem de vias dedicadas exclusivamente a ciclofaixas no município?";"Frota";"Bicicleta";"0";"1";"1";"0";"0"
"1.6.1.I";"Extensão da malha (metrô)";"Qual a quilometragem de vias dedicadas exclusivamente a metrô no município?";"Infraestrutura";"Metrô";"0";"1";"1";"0";"0"
"1.6.1.J";"Extensão da malha (trem)";"Qual a quilometragem de vias dedicadas exclusivamente a trem no município?";"Infraestrutura";"Trem";"0";"1";"1";"0";"0"
"1.6.1.K";"Extensão da malha (VLT)";"Qual a quilometragem de vias dedicadas exclusivamente a VLT no município?";"Infraestrutura";"VLT";"0";"1";"1";"0";"0"
"1.6.1.L";"Extensão da malha (monotrilho)";"Qual a quilometragem de vias dedicadas exclusivamente a monotrilho no município?";"Infraestrutura";"Monotrilho";"0";NA;"1";"0";"0"
"1.6.1.M";"Extensão da malha (aeromóvel)";"Qual a quilometragem de vias dedicadas exclusivamente a aeromóvel no município?";"Infraestrutura";"Aeromóvel";"0";NA;"1";"0";"0"
"1.7.1.A";"Quilômetros Percorridos (Ônibus)";"Qual a quilometragem percorrida no ano pela frota de ônibus do município?";"Frota";"Ônibus";"1";"1";"1";"0";"0"
"1.7.1.B";"Quilômetros Percorridos (Microônibus)";"Qual a quilometragem percorrida no ano pela frota de vans/microônibus do município?";"Frota";"Vans/Microônibus";"1";"1";"1";"0";"0"
"1.7.1.C";"Quilômetros Percorridos (Metrô)";"Qual a quilometragem percorrida no ano pela frota de metrô do município?";"Frota";"Metrô";"1";NA;"1";"0";"0"
"1.7.1.D";"Quilômetros Percorridos (Trem)";"Qual a quilometragem percorrida no ano pela frota de trem do município?";"Frota";"Trem";"1";NA;"1";"0";"0"
"1.7.1.E";"Quilômetros Percorridos (Barco)";"Qual a quilometragem percorrida no ano pela frota de barco/catamarã do município?";"Frota";"Barco";"1";NA;"1";"0";"0"
"1.7.1.F";"Quilômetros Percorridos (VLT)";"Qual a quilometragem percorrida no ano pela frota de VLT do município?";"Frota";"VLT";"1";NA;"1";"0";"0"
"1.7.1.G";"Quilômetros Percorridos (Monotrilho)";"Qual a quilometragem percorrida no ano pela frota de monotrilho do município?";"Frota";"Monotrilho";"1";NA;"1";"0";"0"
"1.7.1.H";"Quilômetros Percorridos (Aeromóvel)";"Qual a quilometragem percorrida no ano pela frota de aeromóvel do município?";"Frota";"Aeromóvel";"1";NA;"1";"0";"0"
"2.1.1.A";"Velocidade Média do BRT em faixas prioritárias (pico)";"Qual a velocidade média operacional (km/h) do sistema de BRT do município em faixas prioritárias no horário de pico?";"Infraestrutura";"Ônibus";"1";"1";"0";"1";"0"
"2.1.1.B";"Velocidade Média do Ônibus nos Corredores (pico)";"Qual a velocidade média operacional (km/h) nos corredores de ônibus do município no horário de pico?";"Infraestrutura";"Ônibus";"1";"1";"0";"1";"0"
"2.1.1.C";"Velocidade Média do Ônibus nas Faixas Exclusivas (pico)";"Qual a velocidade média operacional (km/h) nas faixas exclusivas de ônibus do município no horário de pico?";"Infraestrutura";"Ônibus";"1";"1";"0";"1";"0"
"2.1.1.D";"Velocidade Média do Metrô (pico)";"Qual a velocidade média operacional (km/h) do sistema de metrô do município no horário de pico?";"Infraestrutura";"Metrô";"1";NA;"0";"1";"0"
