name_variable,code_variable
"Quais os serviços de transporte público urbano estão presentes no município, sob gestão da prefeitura, seja por operação direta ou por delegação?",1.1.1
"Quais os serviços de transporte público urbano estão presentes no município em que o Governo do Estado é responsável pela gestão, seja gestão direta ou indireta?",1.2.1
"Quais os serviços de transporte público urbano estão presentes no município em que o Governo Federal é responsável pela gestão, seja gestão direta ou indireta?",1.2.2
"Quais os serviços de transporte público urbano estão presentes no município, sob gestão de um consórcio público ou de um convênio de cooperação para gestão do transporte metropolitano, seja de gestão direta ou indireta?",1.2.3
Quais os tipos de integração física entre os diferentes modos de transporte urbano existem em seu município?,1.3.1
Qual o número total de terminais rodoviários no município?,1.4.1.A
"Qual o número total de terminais rodoviários acessíveis com rampas, plataformas de embarque em nível?",1.4.1.B
Qual o número total de terminais rodoviários acessíveis com informações para pessoas com deficiência visual?,1.4.1.C
Qual o número total de terminais rodoviários com integração física?,1.4.1.D
Qual o número total de estações metroferroviárias no município?,1.4.1.E
"Qual o número total de estações metroferroviárias acessíveis com rampas, plataformas de embarque em nível?",1.4.1.F
Qual o número total de estações metroferroviárias acessíveis com informações para pessoas com deficiência visual?,1.4.1.G
Qual o número total de estações metroferroviárias com integração física?,1.4.1.H
"Qual o número total de pontos de embarque e desembarque, considerando todos os modos de transporte?",1.4.2
"Qual o número total de pontos de embarque e desembarque com abrigo para usuários, considerando todos os modos de transporte?",1.4.3
"Qual o número total de pontos de embarque e desembarque com plataforma de embarque em nível para usuários, considerando todos os modos de transporte?",1.4.4
O município disponibiliza o local de pontos de embarque de desembarque georreferenciados na internet?,1.4.5
Em qual website é possível obter os pontos de embarque e desembarque georreferenciados?,1.4.5.A
Qual a frota de veículos operacionais de ônibus convencional no município?,1.5.1.A
Qual a capacidade média da frota de ônibus convencionais operacionais no município?,1.5.1.B
Qual o número de ônibus convencionais operacionais de piso baixo no município?,1.5.1.C
Qual o número de ônibus convencionais operacionais com plataforma elevatória no município?,1.5.1.D
Qual a frota de veículos operacionais de ônibus articulado no município?,1.5.1.E
Qual a capacidade média de ônibus articulado operacionais no município?,1.5.1.F
Qual o número de ônibus articulados operacionais de piso baixo?,1.5.1.G
Qual o número de ônibus articulados operacionais com plataforma elevatória no município?,1.5.1.H
Qual a frota de veículos operacionais de ônibus biarticulado no município?,1.5.1.I
Qual a capacidade média de ônibus biarticulado operacionais no município?,1.5.1.J
Qual o número de ônibus biarticulados operacionais de piso baixo?,1.5.1.K
Qual o número de ônibus biarticulados operacionais com plataforma elevatória no município?,1.5.1.L
Qual a frota de veículos operacionais de vans/microônibus no município?,1.5.1.M
Qual a capacidade média da frota de vans/microônibus operacionais no município?,1.5.1.N
Qual a frota de veículos operacionais de táxi no município?,1.5.1.O
Qual a frota de veículos operacionais de mototáxi no município?,1.5.1.P
Qual a frota de veículos operacionais de metrô (composição) no município?,1.5.1.Q
Qual a capacidade média de um veículo de metrô (composição) no município?,1.5.1.R
Qual a frota de veículos operacionais de trem (composição) no município?,1.5.1.S
Qual a capacidade média de um veículo de trem (composição) no município?,1.5.1.T
Qual a frota de barcos operacionais no município?,1.5.1.U
Qual a capacidade média da frota de barco no município?,1.5.1.V
Qual a frota de veículos operacionais de VLT (composição) no município?,1.5.1.W
Qual a capacidade média de um veículo de VLT (composição) no município?,1.5.1.X
Qual a frota de veículos operacionais de monotrilho (composição) no município?,1.5.1.Y
Qual a capacidade média de um veículo de monotrilho (composição) no município?,1.5.1.Z
Qual a frota de veículos operacionais de aeromóvel (composição) no município?,1.5.1.AA
Qual a capacidade média de um aeromóvel no município?,1.5.1.AB
Qual a frota de bicicletas compartilhadas operacionais no município?,1.5.1.AC
Qual a frota de veículos para fretamento para transporte de passageiro no município?,1.5.2.A
Qual a frota de veículos para transporte escolar no município?,1.5.2.B
Qual a quilometragem de vias dedicadas onde apenas pedestres podem circular (permanente)?,1.6.1.A
Qual a quilometragem de vias dedicadas onde apenas pedestres podem circular (temporária)?,1.6.1.B
Qual a quilometragem de calçadas no município (parte da via reservada ao trânsito de pedestres)?,1.6.1.C
Qual a quilometragem de vias dedicadas exclusivas para BRTs no município?,1.6.1.D
Qual a quilometragem de vias dedicadas exclusivamente a corredores de ônibus no município?,1.6.1.E
Qual a quilometragem de vias dedicadas a faixas exclusivas no município?,1.6.1.F
Qual a quilometragem de vias dedicadas exclusivamente a ciclovias no município?,1.6.1.G
Qual a quilometragem de vias dedicadas exclusivamente a ciclofaixas no município?,1.6.1.H
Qual a quilometragem de vias dedicadas exclusivamente a metrô no município?,1.6.1.I
Qual a quilometragem de vias dedicadas exclusivamente a trem no município?,1.6.1.J
Qual a quilometragem de vias dedicadas exclusivamente a VLT no município?,1.6.1.K
Qual a quilometragem de vias dedicadas exclusivamente a monotrilho no município?,1.6.1.L
Qual a quilometragem de vias dedicadas exclusivamente a aeromóvel no município?,1.6.1.M
Qual a quilometragem percorrida no ano de 2023 pela frota de ônibus do município?,1.7.1.A
Qual a quilometragem percorrida no ano de 2023 pela frota de vans/microônibus do município?,1.7.1.B
Qual a quilometragem percorrida no ano de 2023 pela frota de metrô do município?,1.7.1.C
Qual a quilometragem percorrida no ano de 2023 pela frota de trem do município?,1.7.1.D
Qual a quilometragem percorrida no ano de 2023 pela frota de barco/catamarã do município?,1.7.1.E
Qual a quilometragem percorrida no ano de 2023 pela frota de VLT do município?,1.7.1.F
Qual a quilometragem percorrida no ano de 2023 pela frota de monotrilho do município?,1.7.1.G
Qual a quilometragem percorrida no ano de 2023 pela frota de aeromóvel do município?,1.7.1.H
Qual a velocidade média operacional (km/h) do sistema de BRT do município em faixas prioritárias no horário de pico?,2.1.1.A
Qual a velocidade média operacional (km/h) nos corredores de ônibus do município no horário de pico?,2.1.1.B
Qual a velocidade média operacional (km/h) nas faixas exclusivas de ônibus do município no horário de pico?,2.1.1.C
Qual a velocidade média operacional (km/h) do sistema de metrô do município no horário de pico?,2.1.1.D
Qual a velocidade média operacional (km/h) do sistema de trem do município no horário de pico?,2.1.1.E
Qual a velocidade média operacional (km/h) do sistema de VLT do município no horário de pico?,2.1.1.F
