code_variable,name_variable,label_pergunta,label,categoria,subcategoria,modal,submodal,tipo,is_dashboard,is_portal,is_transform,is_average,is_percentage,is_absolute,is_candidate
2.4.2.A,Qual o número total de pontos de embarque e desembarque com informações aos usuários sobre itinerários?,Qual o número total de pontos de embarque e desembarque com informações aos usuários sobre itinerários?,Pontos de Embarque com Itinerários,Modais de transporte,Infraestrutura,NA,Ônibus,numeric,1,1,1,0,0,1,1
2.4.2.B,Qual o número total de pontos de embarque e desembarque com informações aos usuários sobre horários?,Qual o número total de pontos de embarque e desembarque com informações aos usuários sobre horários?,Pontos de Embarque com Informações sobre Horários,Modais de transporte,Infraestrutura,NA,Ônibus,numeric,1,1,1,0,0,1,1
2.4.2.C,Qual o número total de pontos de embarque e desembarque com informações aos usuários sobre tarifas?,Qual o número total de pontos de embarque e desembarque com informações aos usuários sobre tarifas?,Pontos de Embarque com Informações sobre Tarifas,Modais de transporte,Infraestrutura,NA,Ônibus,numeric,1,1,1,0,0,1,1
2.4.2.D,Qual o número total de pontos de embarque e desembarque com informações aos usuários sobre modos de interação com outros modos de transporte?,Qual o número total de pontos de embarque e desembarque com informações aos usuários sobre modos de interação com outros modos de transporte?,Pontos de Embarque com Informações sobre Integrações,Modais de transporte,Infraestrutura,NA,Ônibus,numeric,1,1,1,0,0,1,1
2.5.1,O município realiza pesquisa de satisfação dos usuários?,O município realiza pesquisa de satisfação dos usuários?,Existe Pesquisa de Satisfação de Usuário,Administrativo,Pesquisas,NA,NA,text,0,1,0,0,0,0,1
2.5.1.A,Ano de realização da pesquisa:,Ano de realização da pesquisa:,Ano da Pesquisa,Administrativo,Pesquisas,NA,NA,numeric,0,0,0,0,0,1,1
2.5.1.B,Em qual website é possível obter a pesquisa de satisfação dos usuários em formato digital?,Em qual website é possível obter a pesquisa de satisfação dos usuários em formato digital?,Website Satisfação de Usuário,Administrativo,Pesquisas,NA,NA,text,0,0,0,0,0,0,1
2.6.1.A,O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por ônibus?,O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por ônibus?,Informações sobre pontualidade e regularidade (ônibus),Modais de transporte,Eficiência e Indicadores,Ônibus,Ônibus,binary,0,1,0,0,0,0,1
2.6.1.B,O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por vans/microônibus?,O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por vans/microônibus?,Informações sobre pontualidade e regularidade (ônibus),Modais de transporte,Eficiência e Indicadores,Microônibus,Microônibus,binary,0,1,0,0,0,0,1
2.6.1.C,O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por metrô?,O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por metrô?,Informações sobre pontualidade e regularidade (ônibus),Modais de transporte,Eficiência e Indicadores,Metrô,Metrô,binary,0,1,0,0,0,0,1
2.6.1.D,O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por trem?,O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por trem?,Informações sobre pontualidade e regularidade (ônibus),Modais de transporte,Eficiência e Indicadores,Trem,Trem,binary,0,1,0,0,0,0,1
2.6.1.E,O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por barco?,O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por barco?,Informações sobre pontualidade e regularidade (ônibus),Modais de transporte,Eficiência e Indicadores,Barco,Barco,binary,0,1,0,0,0,0,1
2.6.1.F,O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por VLT?,O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por VLT?,Informações sobre pontualidade e regularidade (ônibus),Modais de transporte,Eficiência e Indicadores,VLT,VLT,binary,0,1,0,0,0,0,1
2.6.1.G,O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por monotrilho?,O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por monotrilho?,Informações sobre pontualidade e regularidade (ônibus),Modais de transporte,Eficiência e Indicadores,Monotrilho,Monotrilho,binary,0,1,0,0,0,0,1
2.6.1.H,O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por aeromóvel?,O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por aeromóvel?,Informações sobre pontualidade e regularidade (ônibus),Modais de transporte,Eficiência e Indicadores,Aeromóvel,Aeromóvel,binary,0,1,0,0,0,0,0
2.6.2.A,Qual a porcentagem de viagens por ônibus foram realizadas dentro do horário programado em 2023? (%),Qual a porcentagem de viagens por ônibus foram realizadas dentro do horário programado no ano? (%),Viagens de Ônibus Realizadas no Horário Programado (%),Modais de transporte,Eficiência e Indicadores,Ônibus,NA,numeric,1,1,0,0,0,1,1
2.6.2.B,Qual a porcentagem de viagens por vans/microônibus foram realizadas dentro do horário programado em 2023? (%),Qual a porcentagem de viagens por vans/microônibus foram realizadas dentro do horário programado no ano? (%),Viagens de Microônibus Realizadas no Horário Programado (%),Modais de transporte,Eficiência e Indicadores,Microônibus,NA,numeric,1,1,0,0,0,1,1
2.6.2.C,Qual a porcentagem de viagens por metrô foram realizadas dentro do horário programado em 2023? (%),Qual a porcentagem de viagens por metrô foram realizadas dentro do horário programado no ano? (%),Viagens de Metrô Realizadas no Horário Programado (%),Modais de transporte,Eficiência e Indicadores,Metrô,NA,numeric,1,1,0,0,0,1,0
2.6.2.D,Qual a porcentagem de viagens por trem foram realizadas dentro do horário programado em 2023? (%),Qual a porcentagem de viagens por trem foram realizadas dentro do horário programado no ano? (%),Viagens de Trem Realizadas no Horário Programado (%),Modais de transporte,Eficiência e Indicadores,Trem,NA,numeric,1,1,0,0,0,1,0
2.6.2.E,Qual a porcentagem de viagens por barco foram realizadas dentro do horário programado em 2023? (%),Qual a porcentagem de viagens por barco foram realizadas dentro do horário programado no ano? (%),Viagens de Barco Realizadas no Horário Programado (%),Modais de transporte,Eficiência e Indicadores,Barco,NA,numeric,1,1,0,0,0,1,1
2.6.2.F,Qual a porcentagem de viagens por VLT foram realizadas dentro do horário programado em 2023? (%),Qual a porcentagem de viagens por VLT foram realizadas dentro do horário programado no ano? (%),Viagens de VLT Realizadas no Horário Programado (%),Modais de transporte,Eficiência e Indicadores,VLT,NA,numeric,1,1,0,0,0,1,0
2.6.2.G,Qual a porcentagem de viagens por Monotrilho foram realizadas dentro do horário programado em 2023? (%),Qual a porcentagem de viagens por Monotrilho foram realizadas dentro do horário programado no ano? (%),Viagens de Monotrilho Realizadas no Horário Programado (%),Modais de transporte,Eficiência e Indicadores,Monotrilho,NA,numeric,1,1,0,0,0,1,0
2.6.2.H,Qual a porcentagem de viagens por aeromóvel foram realizadas dentro do horário programado em 2023? (%),Qual a porcentagem de viagens por aeromóvel foram realizadas dentro do horário programado no ano? (%),Viagens de Aeromóvel Realizadas no Horário Programado (%),Modais de transporte,Eficiência e Indicadores,Aeromóvel,NA,numeric,1,1,0,0,0,1,0
2.6.2.I,Qual a porcentagem de viagens por ônibus não foram completadas em 2023? (%),Qual a porcentagem de viagens por ônibus não foram completadas no ano? (%),Viagens de Ônibus Incompletas (%),Modais de transporte,Eficiência e Indicadores,Ônibus,NA,numeric,1,1,0,0,0,1,1
2.6.2.J,Qual o percentual de viagens por vans/microônibus não foram completadas em 2023? (%),Qual o percentual de viagens por vans/microônibus não foram completadas no ano? (%),Viagens de Ônibus Incompletas Microônibus(%),Modais de transporte,Eficiência e Indicadores,Microônibus,NA,numeric,1,1,0,0,1,0,1
2.6.2.K,Qual o percentual de viagens por metrô não foram completadas em 2023? (%),Qual o percentual de viagens por metrô não foram completadas no ano? (%),Viagens de Metrô Incompletas (%),Modais de transporte,Eficiência e Indicadores,Metrô,NA,numeric,1,1,0,0,1,0,1
2.6.2.L,Qual o percentual de viagens por trem não foram completadas em 2023? (%),Qual o percentual de viagens por trem não foram completadas no ano? (%),Viagens de Trem Incompletas (%),Modais de transporte,Eficiência e Indicadores,Trem,NA,numeric,1,1,0,0,1,0,1
2.6.2.M,Qual o percentual de viagens por barco não foram completadas em 2023? (%),Qual o percentual de viagens por barco não foram completadas no ano? (%),Viagens de Barco Incompletas (%),Modais de transporte,Eficiência e Indicadores,Barco,NA,numeric,1,1,0,0,1,0,1
2.6.2.N,Qual o percentual de viagens por VLT não foram completadas em 2023? (%),Qual o percentual de viagens por VLT não foram completadas no ano? (%),Viagens de VLT Incompletas (%),Modais de transporte,Eficiência e Indicadores,VLT,NA,numeric,1,1,0,0,1,0,1
2.6.2.O,Qual o percentual de viagens por monotrilho não foram completadas em 2023? (%),Qual o percentual de viagens por monotrilho não foram completadas no ano? (%),Viagens de Monotrilho Incompletas (%),Modais de transporte,Eficiência e Indicadores,Monotrilho,NA,numeric,1,1,0,0,1,0,1
2.6.2.P,Qual o percentual de viagens por aeromóvel não foram completadas em 2023? (%),Qual o percentual de viagens por aeromóvel não foram completadas no ano? (%),Viagens de Aeromóvel Incompletas (%),Modais de transporte,Eficiência e Indicadores,Aeromóvel,NA,numeric,1,1,0,0,1,0,0
3.1.1.A,Qual o valor da atual tarifa predominante do município?,Qual o valor da atual tarifa predominante do município?,Valor da Tarifa,Modais de transporte,Receita e Despesa,NA,NA,numeric,1,1,0,0,0,1,1
3.1.1.B,Qual o valor anterior da tarifa predominante no município?,Qual o valor anterior da tarifa predominante no município?,Valor Anterior da Tarifa,Modais de transporte,Receita e Despesa,NA,NA,numeric,0,0,0,0,0,1,1
3.1.1.C,Qual a data do último reajuste?,Qual a data do último reajuste?,Data do Último Reajuste,Modais de transporte,Receita e Despesa,NA,NA,date,0,0,0,0,0,0,1
3.1.2,Existe outros valores de tarifas na rede de transporte público coletivo no município?,Existe outros valores de tarifas na rede de transporte público coletivo no município?,Tarifa Única,Modais de transporte,Receita e Despesa,NA,NA,binary,0,0,0,0,0,0,1
3.1.2.A,Quais outros serviços e respectivos valores de tarifas públicas existem no município?,Quais outros serviços e respectivos valores de tarifas públicas existem no município?,Serviços e Tarifas Diferentes,Modais de transporte,Receita e Despesa,NA,NA,text,0,0,0,0,0,0,1
3.1.3,Quais as formas de integração tarifária existentes?,Quais as formas de integração tarifária existentes?,Formas de Integração Tarifárias Existentes,Modais de transporte,Receita e Despesa,NA,NA,text,0,0,0,0,0,0,1
3.2.1.A,Qual o valor da receita tarifária anual por ônibus arrecadado em 2023?,Qual o valor da receita tarifária anual por ônibus arrecadado no ano?,Receita Tarifária (Ônibus),Modais de transporte,Receita e Despesa,Ônibus,NA,numeric,1,1,1,0,0,1,1
3.2.1.B,"Se houver receita extratarifária, qual o valor de subsídio associado a passageiros com benefícios tarifários utilizado no sistema por ônibus em 2023?","Se houver receita extratarifária, qual o valor de subsídio associado a passageiros com benefícios tarifários utilizado no sistema por ônibus no ano?",Subsídios a Passageiros (Ônibus),Modais de transporte,Receita e Despesa,Ônibus,NA,numeric,1,1,1,0,0,1,1
3.2.1.C,"Se houver receita extratarifária, qual o valor arrecadado com subsídio direto ao sistema (subvenção) no sistema por ônibus em 2023?","Se houver receita extratarifária, qual o valor arrecadado com subsídio direto ao sistema (subvenção) no sistema por ônibus no ano?",Subsídios ao Sistema (Ônibus),Modais de transporte,Receita e Despesa,Ônibus,NA,numeric,1,1,1,0,0,1,1
3.2.1.D,"Se houver receita extratarifária, qual o valor arrecadado com publicidade em abrigos, terminais e veículos no sistema por ônibus em 2023?","Se houver receita extratarifária, qual o valor arrecadado com publicidade em abrigos, terminais e veículos no sistema por ônibus no ano?",Receita Extratarifária com Publicidade (Ônibus),Modais de transporte,Receita e Despesa,Ônibus,NA,numeric,1,1,1,0,0,1,1
3.2.1.E,"Se houver receita extratarifária, qual o valor arrecadado com outras fontes de recursos no sistema por ônibus em 2023?","Se houver receita extratarifária, qual o valor arrecadado com outras fontes de recursos no sistema por ônibus no ano?",Receita Extratarifária de Outras Fontes (Ônibus),Modais de transporte,Receita e Despesa,Ônibus,NA,numeric,1,1,1,0,0,1,1
3.2.2.A,Qual o valor da receita tarifária anual por vans/microônibus arrecadado em 2023?,Qual o valor da receita tarifária anual por vans/microônibus arrecadado no ano?,Receita Tarifária (Ônibus),Modais de transporte,Receita e Despesa,Microônibus,NA,numeric,1,1,1,0,0,1,1
3.2.2.B,"Se houver receita extratarifária, qual o valor de subsídio associado a passageiros com benefícios tarifários utilizado no sistema por vans/microônibus em 2023?","Se houver receita extratarifária, qual o valor de subsídio associado a passageiros com benefícios tarifários utilizado no sistema por vans/microônibus no ano?",Subsídios a Passageiros (Ônibus),Modais de transporte,Receita e Despesa,Microônibus,NA,numeric,1,1,1,0,0,1,1
3.2.2.C,"Se houver receita extratarifária, qual o valor arrecadado com subsídio direto ao sistema (subvenção) no sistema por vans/microônibus em 2023?","Se houver receita extratarifária, qual o valor arrecadado com subsídio direto ao sistema (subvenção) no sistema por vans/microônibus no ano?",Subsídios ao Sistema (Ônibus),Modais de transporte,Receita e Despesa,Microônibus,NA,numeric,1,1,1,0,0,1,0
3.2.2.D,"Se houver receita extratarifária, qual o valor arrecadado com publicidade em abrigos, terminais e veículos no sistema por vans/microônibus em 2023?","Se houver receita extratarifária, qual o valor arrecadado com publicidade em abrigos, terminais e veículos no sistema por vans/microônibus no ano?",Receita Extratarifária com Publicidade (Ônibus),Modais de transporte,Receita e Despesa,Microônibus,NA,numeric,1,1,1,0,0,1,0
3.2.2.E,"Se houver receita extratarifária, qual o valor arrecadado com outras fontes de recursos no sistema por vans/microônibus em 2023?","Se houver receita extratarifária, qual o valor arrecadado com outras fontes de recursos no sistema por vans/microônibus no ano?",Receita Extratarifária de Outras Fontes (Ônibus),Modais de transporte,Receita e Despesa,Microônibus,NA,numeric,1,1,1,0,0,1,0
3.2.3.A,Qual o valor da receita tarifária anual por metrô arrecadado em 2023?,Qual o valor da receita tarifária anual por metrô arrecadado no ano?,Receita Tarifária (Ônibus),Modais de transporte,Receita e Despesa,Metrô,NA,numeric,1,1,1,0,0,1,0
3.2.3.B,"Se houver receita extratarifária, qual o valor de subsídio associado a passageiros com benefícios tarifários utilizado no sistema por metrô em 2023?","Se houver receita extratarifária, qual o valor de subsídio associado a passageiros com benefícios tarifários utilizado no sistema por metrô no ano?",Subsídios a Passageiros (Ônibus),Modais de transporte,Receita e Despesa,Metrô,NA,numeric,1,1,1,0,0,1,0
3.2.3.C,"Se houver receita extratarifária, qual o valor arrecadado com subsídio direto ao sistema (subvenção) no sistema por metrô em 2023?","Se houver receita extratarifária, qual o valor arrecadado com subsídio direto ao sistema (subvenção) no sistema por metrô no ano?",Subsídios ao Sistema (Ônibus),Modais de transporte,Receita e Despesa,Metrô,NA,numeric,1,1,1,0,0,1,0
3.2.3.D,"Se houver receita extratarifária, qual o valor arrecadado com publicidade em abrigos, terminais e veículos no sistema por metrô em 2023?","Se houver receita extratarifária, qual o valor arrecadado com publicidade em abrigos, terminais e veículos no sistema por metrô no ano?",Receita Extratarifária com Publicidade (Ônibus),Modais de transporte,Receita e Despesa,Metrô,NA,numeric,1,1,1,0,0,1,0
3.2.3.E,"Se houver receita extratarifária, qual o valor arrecadado com outras fontes de recursos no sistema por metrô em 2023?","Se houver receita extratarifária, qual o valor arrecadado com outras fontes de recursos no sistema por metrô no ano?",Receita Extratarifária de Outras Fontes (Ônibus),Modais de transporte,Receita e Despesa,Metrô,NA,numeric,1,1,1,0,0,1,0
3.2.4.A,Qual o valor da receita tarifária anual por trem arrecadado em 2023?,Qual o valor da receita tarifária anual por trem arrecadado no ano?,Receita Tarifária (Ônibus),Modais de transporte,Receita e Despesa,Trem,NA,numeric,1,1,1,0,0,1,0
3.2.4.B,"Se houver receita extratarifária, qual o valor de subsídio associado a passageiros com benefícios tarifários utilizado no sistema por trem em 2023?","Se houver receita extratarifária, qual o valor de subsídio associado a passageiros com benefícios tarifários utilizado no sistema por trem no ano?",Subsídios a Passageiros (Ônibus),Modais de transporte,Receita e Despesa,Trem,NA,numeric,1,1,1,0,0,1,0
3.2.4.C,"Se houver receita extratarifária, qual o valor arrecadado com subsídio direto ao sistema (subvenção) no sistema por trem em 2023?","Se houver receita extratarifária, qual o valor arrecadado com subsídio direto ao sistema (subvenção) no sistema por trem no ano?",Subsídios ao Sistema (Ônibus),Modais de transporte,Receita e Despesa,Trem,NA,numeric,1,1,1,0,0,1,0
3.2.4.D,"Se houver receita extratarifária, qual o valor arrecadado com publicidade em abrigos, terminais e veículos no sistema por trem em 2023?","Se houver receita extratarifária, qual o valor arrecadado com publicidade em abrigos, terminais e veículos no sistema por trem no ano?",Receita Extratarifária com Publicidade (Ônibus),Modais de transporte,Receita e Despesa,Trem,NA,numeric,1,1,1,0,0,1,0
3.2.4.E,"Se houver receita extratarifária, qual o valor arrecadado com outras fontes de recursos no sistema por trem em 2023?","Se houver receita extratarifária, qual o valor arrecadado com outras fontes de recursos no sistema por trem no ano?",Receita Extratarifária de Outras Fontes (Ônibus),Modais de transporte,Receita e Despesa,Trem,NA,numeric,1,1,1,0,0,1,0
3.2.5.A,Qual o valor da receita tarifária anual por barco arrecadado em 2023?,Qual o valor da receita tarifária anual por barco arrecadado no ano?,Receita Tarifária (Ônibus),Modais de transporte,Receita e Despesa,Barco,NA,numeric,1,1,1,0,0,1,1
3.2.5.B,"Se houver receita extratarifária, qual o valor de subsídio associado a passageiros com benefícios tarifários utilizado no sistema por barco em 2023?","Se houver receita extratarifária, qual o valor de subsídio associado a passageiros com benefícios tarifários utilizado no sistema por barco no ano?",Subsídios a Passageiros (Ônibus),Modais de transporte,Receita e Despesa,Barco,NA,numeric,1,1,1,0,0,1,0
3.2.5.C,"Se houver receita extratarifária, qual o valor arrecadado com subsídio direto ao sistema (subvenção) no sistema por barco em 2023?","Se houver receita extratarifária, qual o valor arrecadado com subsídio direto ao sistema (subvenção) no sistema por barco no ano?",Subsídios ao Sistema (Ônibus),Modais de transporte,Receita e Despesa,Barco,NA,numeric,1,1,1,0,0,1,0
3.2.5.D,"Se houver receita extratarifária, qual o valor arrecadado com publicidade em abrigos, terminais e veículos no sistema por barco em 2023?","Se houver receita extratarifária, qual o valor arrecadado com publicidade em abrigos, terminais e veículos no sistema por barco no ano?",Receita Extratarifária com Publicidade (Ônibus),Modais de transporte,Receita e Despesa,Barco,NA,numeric,1,1,1,0,0,1,0
3.2.5.E,"Se houver receita extratarifária, qual o valor arrecadado com outras fontes de recursos no sistema por barco em 2023?","Se houver receita extratarifária, qual o valor arrecadado com outras fontes de recursos no sistema por barco no ano?",Receita Extratarifária de Outras Fontes (Ônibus),Modais de transporte,Receita e Despesa,Barco,NA,numeric,1,1,1,0,0,1,0
3.2.6.A,Qual o valor da receita tarifária anual por VLT arrecado em 2023?,Qual o valor da receita tarifária anual por VLT arrecado no ano?,Receita Tarifária (Ônibus),Modais de transporte,Receita e Despesa,VLT,NA,numeric,1,1,1,0,0,1,0
3.2.6.B,"Se houver receita extratarifária, qual o valor de subsídio associado a passageiros com benefícios tarifários utilizado no sistema por VLT em 2023?","Se houver receita extratarifária, qual o valor de subsídio associado a passageiros com benefícios tarifários utilizado no sistema por VLT no ano?",Subsídios a Passageiros (Ônibus),Modais de transporte,Receita e Despesa,VLT,NA,numeric,1,1,1,0,0,1,0
3.2.6.C,"Se houver receita extratarifária, qual o valor arrecadado com subsídio direto ao sistema (subvenção) no sistema por VLT em 2023?","Se houver receita extratarifária, qual o valor arrecadado com subsídio direto ao sistema (subvenção) no sistema por VLT no ano?",Subsídios ao Sistema (Ônibus),Modais de transporte,Receita e Despesa,VLT,NA,numeric,1,1,1,0,0,1,0
3.2.6.D,"Se houver receita extratarifária, qual o valor arrecadado com publicidade em abrigos, terminais e veículos no sistema por VLT em 2023?","Se houver receita extratarifária, qual o valor arrecadado com publicidade em abrigos, terminais e veículos no sistema por VLT no ano?",Receita Extratarifária com Publicidade (Ônibus),Modais de transporte,Receita e Despesa,VLT,NA,numeric,1,1,1,0,0,1,0
3.2.6.E,"Se houver receita extratarifária, qual o valor arrecadado com outras fontes de recursos no sistema por VLT em 2023?","Se houver receita extratarifária, qual o valor arrecadado com outras fontes de recursos no sistema por VLT no ano?",Receita Extratarifária de Outras Fontes (Ônibus),Modais de transporte,Receita e Despesa,VLT,NA,numeric,1,1,1,0,0,1,1
3.2.7.A,Qual o valor da receita tarifária anual por monotrilho arrecadado em 2023?,Qual o valor da receita tarifária anual por monotrilho arrecadado no ano?,Receita Tarifária (Ônibus),Modais de transporte,Receita e Despesa,Monotrilho,NA,numeric,1,1,1,0,0,1,0
3.2.7.B,"Se houver receita extratarifária, qual o valor de subsídio associado a passageiros com benefícios tarifários utilizado no sistema por monotrilho em 2023?","Se houver receita extratarifária, qual o valor de subsídio associado a passageiros com benefícios tarifários utilizado no sistema por monotrilho no ano?",Subsídios a Passageiros (Ônibus),Modais de transporte,Receita e Despesa,Monotrilho,NA,numeric,1,1,1,0,0,1,0
3.2.7.C,"Se houver receita extratarifária, qual o valor arrecadado com subsídio direto ao sistema (subvenção) no sistema por monotrilho em 2023?","Se houver receita extratarifária, qual o valor arrecadado com subsídio direto ao sistema (subvenção) no sistema por monotrilho no ano?",Subsídios ao Sistema (Ônibus),Modais de transporte,Receita e Despesa,Monotrilho,NA,numeric,1,1,1,0,0,1,0
3.2.7.D,"Se houver receita extratarifária, qual o valor arrecadado com publicidade em abrigos, terminais e veículos no sistema por monotrilho em 2023?","Se houver receita extratarifária, qual o valor arrecadado com publicidade em abrigos, terminais e veículos no sistema por monotrilho no ano?",Receita Extratarifária com Publicidade (Ônibus),Modais de transporte,Receita e Despesa,Monotrilho,NA,numeric,1,1,1,0,0,1,0
3.2.7.E,"Se houver receita extratarifária, qual o valor arrecadado com outras fontes de recursos no sistema por monotrilho em 2023?","Se houver receita extratarifária, qual o valor arrecadado com outras fontes de recursos no sistema por monotrilho no ano?",Receita Extratarifária de Outras Fontes (Ônibus),Modais de transporte,Receita e Despesa,Monotrilho,NA,numeric,1,1,1,0,0,1,0
3.2.8.A,Qual o valor da receita tarifária anual por aeromóvel arrecado em 2023?,Qual o valor da receita tarifária anual por aeromóvel arrecado no ano?,Receita Tarifária (Ônibus),Modais de transporte,Receita e Despesa,Aeromóvel,NA,numeric,1,1,1,0,0,1,0
3.2.8.B,"Se houver receita extratarifária, qual o valor de subsídio associado a passageiros com benefícios tarifários utilizado no sistema por aeromóvel em 2023?","Se houver receita extratarifária, qual o valor de subsídio associado a passageiros com benefícios tarifários utilizado no sistema por aeromóvel no ano?",Subsídios a Passageiros (Ônibus),Modais de transporte,Receita e Despesa,Aeromóvel,NA,numeric,1,1,1,0,0,1,0
3.2.8.C,"Se houver receita extratarifária, qual o valor arrecadado com subsídio direto ao sistema (subvenção) no sistema por aeromóvel em 2023?","Se houver receita extratarifária, qual o valor arrecadado com subsídio direto ao sistema (subvenção) no sistema por aeromóvel no ano?",Subsídios ao Sistema (Ônibus),Modais de transporte,Receita e Despesa,Aeromóvel,NA,numeric,1,1,1,0,0,1,0
3.2.8.D,"Se houver receita extratarifária, qual o valor arrecadado com publicidade em abrigos, terminais e veículos no sistema por aeromóvel em 2023?","Se houver receita extratarifária, qual o valor arrecadado com publicidade em abrigos, terminais e veículos no sistema por aeromóvel no ano?",Receita Extratarifária com Publicidade (Ônibus),Modais de transporte,Receita e Despesa,Aeromóvel,NA,numeric,1,1,1,0,0,1,0
3.2.8.E,"Se houver receita extratarifária, qual o valor arrecadado com outras fontes de recursos no sistema por aeromóvel em 2023?","Se houver receita extratarifária, qual o valor arrecadado com outras fontes de recursos no sistema por aeromóvel no ano?",Receita Extratarifária de Outras Fontes (Ônibus),Modais de transporte,Receita e Despesa,Aeromóvel,NA,numeric,1,1,1,0,0,1,0
3.3.1.A,Quais os impostos incidentes no serviço de transporte por ônibus?,Quais os impostos incidentes no serviço de transporte por ônibus?,Impostos Incidentes (Ônibus),Modais de transporte,Receita e Despesa,Ônibus,NA,numeric,1,1,1,0,0,1,1
3.3.1.B,Qual o percentual de ISS incidente no serviço de transporte por ônibus?,Qual o percentual de ISS incidente no serviço de transporte por ônibus?,Impostos e taxas - Alíquota ISS (Ônibus),Modais de transporte,Receita e Despesa,Ônibus,NA,numeric,1,1,1,0,1,0,1
3.3.1.C,Qual o percentual de Taxa de Gerenciamento incidente no serviço de transporte por ônibus?,Qual o percentual de Taxa de Gerenciamento incidente no serviço de transporte por ônibus?,Impostos e Taxas - Taxa de Gerenciamento (Ônibus),Modais de transporte,Receita e Despesa,Ônibus,NA,numeric,1,1,1,0,1,0,1
3.3.1.D,Qual o percentual de PIS incidente no serviço de transporte por ônibus?,Qual o percentual de PIS incidente no serviço de transporte por ônibus?,Impostos e Taxas - PIS (Ônibus),Modais de transporte,Receita e Despesa,Ônibus,NA,numeric,1,1,1,0,1,0,1
3.3.1.E,Qual o percentual de Cofins incidente no serviço de transporte por ônibus?,Qual o percentual de Cofins incidente no serviço de transporte por ônibus?,Impostos e Taxas - Cofins (Ônibus),Modais de transporte,Receita e Despesa,Ônibus,NA,numeric,1,1,1,0,1,0,1
3.3.1.F,Qual o percentual de outros impostos incidentes no serviço de transporte por ônibus?,Qual o percentual de outros impostos incidentes no serviço de transporte por ônibus?,Impostos e Taxas - Alíquota Outros Impostos (Ônibus),Modais de transporte,Receita e Despesa,Ônibus,NA,numeric,1,1,1,0,1,0,1
3.3.1.G,Quais outros impostos incidem no serviço de transporte por ônibus?,Quais outros impostos incidem no serviço de transporte por ônibus?,Impostos e Taxas - Outros Impostos (Ônibus),Modais de transporte,Receita e Despesa,Ônibus,NA,numeric,1,1,1,0,0,1,1
3.3.1.H,Quais os impostos incidentes no serviço de transporte por vans/microônibus?,Quais os impostos incidentes no serviço de transporte por vans/microônibus?,Impostos Incidentes (Ônibus),Modais de transporte,Receita e Despesa,Microônibus,NA,numeric,1,1,1,0,0,1,1
3.3.1.I,Qual o percentual de ISS incidente no serviço de transporte por vans/microônibus?,Qual o percentual de ISS incidente no serviço de transporte por vans/microônibus?,Impostos e taxas - Alíquota ISS (Ônibus),Modais de transporte,Receita e Despesa,Microônibus,NA,numeric,1,1,1,0,1,0,1
3.3.1.J,Qual o percentual de Taxa de Gerenciamento incidente no serviço de transporte por vans/microônibus?,Qual o percentual de Taxa de Gerenciamento incidente no serviço de transporte por vans/microônibus?,Impostos e Taxas - Taxa de Gerenciamento (Ônibus),Modais de transporte,Receita e Despesa,Microônibus,NA,numeric,1,1,1,0,1,0,0
3.3.1.K,Qual o percentual de PIS incidente no serviço de transporte por vans/microônibus?,Qual o percentual de PIS incidente no serviço de transporte por vans/microônibus?,Impostos e Taxas - PIS (Ônibus),Modais de transporte,Receita e Despesa,Microônibus,NA,numeric,1,1,1,0,1,0,0
3.3.1.L,Qual o percentual de Cofins incidente no serviço de transporte por vans/microônibus?,Qual o percentual de Cofins incidente no serviço de transporte por vans/microônibus?,Impostos e Taxas - Cofins (Ônibus),Modais de transporte,Receita e Despesa,Microônibus,NA,numeric,1,1,1,0,1,0,0
3.3.1.M,Qual o percentual de outros impostos incidentes no serviço de transporte por vans/microônibus?,Qual o percentual de outros impostos incidentes no serviço de transporte por vans/microônibus?,Impostos e Taxas - Alíquota Outros Impostos (Ônibus),Modais de transporte,Receita e Despesa,Microônibus,NA,numeric,1,1,1,0,1,0,1
3.3.1.N,Quais outros impostos incidem no serviço de transporte por vans/microônibus?,Quais outros impostos incidem no serviço de transporte por vans/microônibus?,Impostos e Taxas - Outros Impostos (Ônibus),Modais de transporte,Receita e Despesa,Microônibus,NA,numeric,1,1,1,0,0,1,1
3.3.1.O,Quais os impostos incidentes no serviço de transporte por metrô?,Quais os impostos incidentes no serviço de transporte por metrô?,Impostos Incidentes (Ônibus),Modais de transporte,Receita e Despesa,Metrô,NA,numeric,1,1,1,0,0,1,0
