code_variable,name_variable,label_pergunta,label,categoria,subcategoria,modal,submodal,tipo,is_dashboard,is_portal,is_transform,is_average,is_percentage,is_absolute,is_candidate
1.5.1.F,Qual a capacidade média de ônibus articulado operacionais no município?,Qual a capacidade média de ônibus articulado operacionais no município?,Ônibus Articulados (capacidade média),Modais de transporte,Frota,Ônibus,Ônibus articulado,numeric,1,1,0,1,0,0,1
1.5.1.G,Qual o número de ônibus articulados operacionais de piso baixo?,Qual o número de ônibus articulados operacionais de piso baixo?,Ônibus Articulados (piso baixo),Modais de transporte,Frota,Ônibus,Ônibus articulado,numeric,1,1,1,0,0,1,1
1.5.1.H,Qual o número de ônibus articulados operacionais com plataforma elevatória no município?,Qual o número de ônibus articulados operacionais com plataforma elevatória no município?,Ônibus Articulados (com plataforma),Modais de transporte,Frota,Ônibus,Ônibus articulado,numeric,1,1,1,0,0,1,1
1.5.1.I,Qual a frota de veículos operacionais de ônibus biarticulado no município?,Qual a frota de veículos operacionais de ônibus biarticulado no município?,Frota de Ônibus Biarticulados,Modais de transporte,Frota,Ônibus,Ônibus biarticulado,numeric,1,1,1,0,0,1,1
1.5.1.J,Qual a capacidade média de ônibus biarticulado operacionais no município?,Qual a capacidade média de ônibus biarticulado operacionais no município?,Ônibus Biarticulados (cap. média),Modais de transporte,Frota,Ônibus,Ônibus biarticulado,numeric,1,1,0,1,0,0,1
1.5.1.K,Qual o número de ônibus biarticulados operacionais de piso baixo?,Qual o número de ônibus biarticulados operacionais de piso baixo?,Ônibus Biarticulados (piso baixo),Modais de transporte,Frota,Ônibus,Ônibus biarticulado,numeric,1,1,1,0,0,1,1
1.5.1.L,Qual o número de ônibus biarticulados operacionais com plataforma elevatória no município?,Qual o número de ônibus biarticulados operacionais com plataforma elevatória no município?,Ônibus Biarticulados (com plataforma),Modais de transporte,Frota,Ônibus,Ônibus biarticulado,numeric,1,1,1,0,0,1,1
1.5.1.M,Qual a frota de veículos operacionais de vans/microônibus no município?,Qual a frota de veículos operacionais de vans/microônibus no município?,Frota de Microônibus,Modais de transporte,Frota,Microônibus,NA,numeric,1,1,1,0,0,1,1
1.5.1.N,Qual a capacidade média da frota de vans/microônibus operacionais no município?,Qual a capacidade média da frota de vans/microônibus operacionais no município?,Microônibus (capacidade média),Modais de transporte,Frota,Microônibus,NA,numeric,1,1,0,1,0,0,1
1.5.1.O,Qual a frota de veículos operacionais de táxi no município?,Qual a frota de veículos operacionais de táxi no município?,Frota de Táxis,Modais de transporte,Frota,Táxi,NA,numeric,1,1,1,0,0,1,1
1.5.1.P,Qual a frota de veículos operacionais de mototáxi no município?,Qual a frota de veículos operacionais de mototáxi no município?,Frota de Mototáxis,Modais de transporte,Frota,Mototáxi,NA,numeric,1,1,1,0,0,1,1
1.5.1.Q,Qual a frota de veículos operacionais de metrô (composição) no município?,Qual a frota de veículos operacionais de metrô (composição) no município?,Frota (composição) de Metrôs,Modais de transporte,Frota,Metrô,NA,numeric,1,1,1,0,0,1,1
1.5.1.R,Qual a capacidade média de um veículo de metrô (composição) no município?,Qual a capacidade média de um veículo de metrô (composição) no município?,Metrô (capacidade média),Modais de transporte,Frota,Metrô,NA,numeric,1,1,0,1,0,0,1
1.5.1.S,Qual a frota de veículos operacionais de trem (composição) no município?,Qual a frota de veículos operacionais de trem (composição) no município?,Frota de Trens,Modais de transporte,Frota,Trem,NA,numeric,1,1,1,0,0,1,0
1.5.1.T,Qual a capacidade média de um veículo de trem (composição) no município?,Qual a capacidade média de um veículo de trem (composição) no município?,Trem (capacidade média),Modais de transporte,Frota,Trem,NA,numeric,1,1,0,1,0,0,0
1.5.1.U,Qual a frota de barcos operacionais no município?,Qual a frota de barcos operacionais no município?,Frota de Barcos,Modais de transporte,Frota,Barco,NA,numeric,1,1,1,0,0,1,1
1.5.1.V,Qual a capacidade média da frota de barco no município?,Qual a capacidade média da frota de barco no município?,Barcos (capacidade média),Modais de transporte,Frota,Barco,NA,numeric,1,1,0,1,0,0,1
1.5.1.W,Qual a frota de veículos operacionais de VLT (composição) no município?,Qual a frota de veículos operacionais de VLT (composição) no município?,Frota (composição) de VLTs,Modais de transporte,Frota,VLT,NA,numeric,1,1,1,0,0,1,1
1.5.1.X,Qual a capacidade média de um veículo de VLT (composição) no município?,Qual a capacidade média de um veículo de VLT (composição) no município?,VLT (capacidade média),Modais de transporte,Frota,VLT,NA,numeric,1,1,0,1,0,0,1
1.5.1.Y,Qual a frota de veículos operacionais de monotrilho (composição) no município?,Qual a frota de veículos operacionais de monotrilho (composição) no município?,Frota (composição) de Monotrilhos,Modais de transporte,Frota,Monotrilho,Monotrilho,numeric,1,1,1,0,0,1,0
1.5.1.Z,Qual a capacidade média de um veículo de monotrilho (composição) no município?,Qual a capacidade média de um veículo de monotrilho (composição) no município?,Monotrilho (capacidade média),Modais de transporte,Frota,Monotrilho,Monotrilho,numeric,1,1,0,1,0,0,0
1.5.1.AA,Qual a frota de veículos operacionais de aeromóvel (composição) no município?,Qual a frota de veículos operacionais de aeromóvel (composição) no município?,Frota (composição) de Aeromóvel,Modais de transporte,Frota,Aeromóvel,Aeromóvel,numeric,1,1,1,0,0,1,0
1.5.1.AB,Qual a capacidade média de um aeromóvel no município?,Qual a capacidade média de um aeromóvel no município?,Aeromóvel (capacidade média),Modais de transporte,Frota,Aeromóvel,Aeromóvel,numeric,1,1,0,1,0,0,0
1.5.1.AC,Qual a frota de bicicletas compartilhadas operacionais no município?,Qual a frota de bicicletas compartilhadas operacionais no município?,Frota de Bicicletas Compartilhadas,Modais de transporte,Frota,Bicicleta,NA,numeric,1,1,1,0,0,1,1
1.5.2.A,Qual a frota de veículos para fretamento para transporte de passageiro no município?,Qual a frota de veículos para fretamento para transporte de passageiro no município?,Frota de Veículos Fretados para Passageiros,Modais de transporte,Frota,Fretamento,Fretado,numeric,1,1,1,0,0,1,1
1.5.2.B,Qual a frota de veículos para transporte escolar no município?,Qual a frota de veículos para transporte escolar no município?,Frota de Veículos Escolares,Modais de transporte,Frota,Escolar,Escolar,numeric,1,1,1,0,0,1,1
1.6.1.A,Qual a quilometragem de vias dedicadas onde apenas pedestres podem circular (permanente)?,Qual a quilometragem de vias dedicadas onde apenas pedestres podem circular (permanente)?,Extensão de Vias Exclusivas para Pedestres,Modais de transporte,Frota,Pedestres,NA,numeric,0,1,0,0,0,1,1
1.6.1.B,Qual a quilometragem de vias dedicadas onde apenas pedestres podem circular (temporária)?,Qual a quilometragem de vias dedicadas onde apenas pedestres podem circular (temporária)?,Extensão de Vias Exclusivas Temporárias para Pedestres,Modais de transporte,Frota,Pedestres,NA,numeric,0,1,0,0,0,1,1
1.6.1.C,Qual a quilometragem de calçadas no município (parte da via reservada ao trânsito de pedestres)?,Qual a quilometragem de calçadas no município (parte da via reservada ao trânsito de pedestres)?,Extensão de Calçadas para Pedestres,Modais de transporte,Frota,Pedestres,NA,numeric,0,1,0,0,0,1,1
1.6.1.D,Qual a quilometragem de vias dedicadas exclusivas para BRTs no município?,Qual a quilometragem de vias dedicadas exclusivas para BRTs no município?,Extensão de Vias Exclusivas para BRT,Modais de transporte,Frota,NA,BRT,numeric,0,1,0,0,0,1,1
1.6.1.E,Qual a quilometragem de vias dedicadas exclusivamente a corredores de ônibus no município?,Qual a quilometragem de vias dedicadas exclusivamente a corredores de ônibus no município?,Extensão de Corredores Exclusivos de Ônibus,Modais de transporte,Frota,Ônibus,Ônibus,numeric,0,1,0,0,0,1,1
1.6.1.F,Qual a quilometragem de vias dedicadas a faixas exclusivas no município?,Qual a quilometragem de vias dedicadas a faixas exclusivas no município?,Extensão de Faixas Exclusivas,Modais de transporte,Frota,NA,Ônibus,numeric,0,1,0,0,0,1,1
1.6.1.G,Qual a quilometragem de vias dedicadas exclusivamente a ciclovias no município?,Qual a quilometragem de vias dedicadas exclusivamente a ciclovias no município?,Extensão de Ciclovias Exclusivas,Modais de transporte,Frota,NA,Bicicleta,numeric,0,1,0,0,0,1,1
1.6.1.H,Qual a quilometragem de vias dedicadas exclusivamente a ciclofaixas no município?,Qual a quilometragem de vias dedicadas exclusivamente a ciclofaixas no município?,Extensão de Ciclofaixas Exclusivas,Modais de transporte,Frota,NA,Bicicleta,numeric,0,1,0,0,0,1,1
1.6.1.I,Qual a quilometragem de vias dedicadas exclusivamente a metrô no município?,Qual a quilometragem de vias dedicadas exclusivamente a metrô no município?,Extensão da malha (metrô),Modais de transporte,Frota,Metrô,NA,numeric,0,1,0,0,0,1,1
1.6.1.J,Qual a quilometragem de vias dedicadas exclusivamente a trem no município?,Qual a quilometragem de vias dedicadas exclusivamente a trem no município?,Extensão da malha (trem),Modais de transporte,Frota,Trem,NA,numeric,0,1,0,0,0,1,1
1.6.1.K,Qual a quilometragem de vias dedicadas exclusivamente a VLT no município?,Qual a quilometragem de vias dedicadas exclusivamente a VLT no município?,Extensão da malha (VLT),Modais de transporte,Frota,VLT,NA,numeric,0,1,0,0,0,1,1
1.6.1.L,Qual a quilometragem de vias dedicadas exclusivamente a monotrilho no município?,Qual a quilometragem de vias dedicadas exclusivamente a monotrilho no município?,Extensão da malha (monotrilho),Modais de transporte,Frota,Monotrilho,NA,numeric,0,1,0,0,0,1,0
