name_variable,code_variable
Receita extratarifária - VLT,3.2.1.L
Receita tarifária - Monotrilho,3.2.1.M
Receita extratarifária - Monotrilho,3.2.1.N
Receita tarifária - Aeromóvel,3.2.1.O
Receita extratarifária - Aeromóvel,3.2.1.P
Subsídio público  - Ônibus,3.2.2.A
Publicidade  - Ônibus,3.2.2.B
Outras fontes  - Ônibus,3.2.2.C
Subsídio público  - Vans/Microônibus,3.2.2.D
Publicidade  - Vans/Microônibus,3.2.2.E
Outras fontes  - Vans/Microônibus,3.2.2.F
Subsídio público  - Metrô,3.2.2.G
Publicidade  - Metrô,3.2.2.H
Outras fontes  - Metrô,3.2.2.I
Subsídio público  - Trem,3.2.2.J
Publicidade  - Trem,3.2.2.K
Outras fontes  - Trem,3.2.2.L
Subsídio público  - Barco,3.2.2.M
Publicidade  - Barco,3.2.2.N
Outras fontes  - Barco,3.2.2.O
Subsídio público  - VLT,3.2.2.P
Publicidade  - VLT,3.2.2.Q
Outras fontes  - VLT,3.2.2.R
Subsídio público  - Monotrilho,3.2.2.S
Publicidade  - Monotrilho,3.2.2.T
Outras fontes  - Monotrilho,3.2.2.U
Subsídio público  - Aeromóvel,3.2.2.V
Publicidade  - Aeromóvel,3.2.2.W
Outras fontes  - Aeromóvel,3.2.2.Y
ISS (%) - Ônibus,3.3.1.A
Taxa de Gerenciamento (%) - Ônibus,3.3.1.B
PIS (%) - Ônibus,3.3.1.C
Cofins (%) - Ônibus,3.3.1.D
Outros (%) - Ônibus,3.3.1.E
"Se “Outros”, qual? - Ônibus",3.3.1.F
ISS (%) - Vans/Microônibus,3.3.1.G
Taxa de Gerenciamento (%) - Vans/Microônibus,3.3.1.H
PIS (%) - Vans/Microônibus,3.3.1.I
Cofins (%) - Vans/Microônibus,3.3.1.J
Outros (%) - Vans/Microônibus,3.3.1.K
"Se “Outros”, qual? - Vans/Microônibus",3.3.1.L
ISS (%) - Metrô,3.3.1.M
Taxa de Gerenciamento (%) - Metrô,3.3.1.N
PIS (%) - Metrô,3.3.1.O
Cofins (%) - Metrô,3.3.1.P
Outros (%) - Metrô,3.3.1.Q
"Se “Outros”, qual? - Metrô",3.3.1.R
ISS (%) - Trem,3.3.1.S
Taxa de Gerenciamento (%) - Trem,3.3.1.T
PIS (%) - Trem,3.3.1.U
Cofins (%) - Trem,3.3.1.V
Outros (%) - Trem,3.3.1.W
"Se “Outros”, qual? - Trem",3.3.1.X
ISS (%) - Barco,3.3.1.Y
Taxa de Gerenciamento (%) - Barco,3.3.1.Z
PIS (%) - Barco,3.3.1.AA
Cofins (%) - Barco,3.3.1.AB
Outros (%) - Barco,3.3.1.AC
"Se “Outros”, qual? - Barco",3.3.1.AD
ISS (%) - VLT,3.3.1.AE
Taxa de Gerenciamento (%) - VLT,3.3.1.AF
PIS (%) - VLT,3.3.1.AG
