name_variable,code_variable
"Quais os serviços de transporte público urbano o Governo do Estado é responsável pela gestão, seja por operação direta ou por delegação, na Região Metropolitana ou Aglomeração Urbana?",1.1.1
Qual o número total de terminais rodoviários na Região Metropolitana ou Aglomeração Urbana sob gestão do Governo do Estado?,1.2.1.A
"Qual o número total de terminais rodoviários acessíveis com rampas, plataformas de embarque em nível sob gestão do Governo do Estado na Região Metropolitana ou Aglomeração Urbana?",1.2.1.B
Qual o número total de terminais rodoviários acessíveis com informações para pessoas com deficiência visual sob gestão do Governo do Estado na Região Metropolitana ou Aglomeração Urbana?,1.2.1.C
Qual o número total de estações metroferroviárias na Região Metropolitana ou Aglomeração Urbana sob gestão do Governo do Estado?,1.2.2.A
"Qual o número total de estações metroferroviárias acessíveis com rampas, plataformas de embarque em nível sob gestão do Governo do Estado na Região Metropolitana ou Aglomeração Urbana?",1.2.2.B
Qual o número total de estações metroferroviárias acessíveis com informações para pessoas com deficiência visual sob gestão do Governo do Estado na Região Metropolitana ou Aglomeração Urbana?,1.2.2.C
"Os locais georreferenciados dos terminais rodoviários e estações metroferroviárias de transporte, ofertados pelo poder público estadual, estão disponíveis na internet?",1.2.3
Em qual website é possível obter os pontos de embarque e desembarque georreferenciados?,1.2.3.A
Qual a frota de veículos operacionais de ônibus na Região Metropolitana ou Aglomeração Urbana?,1.3.1.A
Qual a capacidade média da frota de ônibus operacionais na Região Metropolitana ou Aglomeração Urbana?,1.3.1.B
Qual o número de ônibus operacionais de piso baixo na Região Metropolitana ou Aglomeração Urbana?,1.3.1.C
Qual a capacidade média da frota de ônibus com piso baixo na Região Metropolitana ou Aglomeração Urbana?,1.3.1.D
Qual o número de ônibus operacionais com plataforma elevatória na Região Metropolitana ou Aglomeração Urbana?,1.3.1.E
Qual a capacidade média da frota de ônibus com plataforma elevatória na Região Metropolitana ou Aglomeração Urbana?,1.3.1.F
Qual a frota de veículos operacionais de metrô (composição) na Região Metropolitana ou Aglomeração Urbana?,1.3.2.A
Qual a capacidade média de um veículo de metrô (composição) na Região Metropolitana ou Aglomeração Urbana?,1.3.2.B
Qual a frota de veículos operacionais de trem (composição) na Região Metropolitana ou Aglomeração Urbana?,1.3.3.A
Qual a capacidade média de um veículo de trem (composição) na Região Metropolitana ou Aglomeração Urbna?,1.3.3.B
Qual a frota de barcos operacionais na Região Metropolitana ou Aglomeração Urbana?,1.3.4.A
Qual a capacidade média da frota de barco na Região Metropolitana ou Aglomeração Urbana?,1.3.4.B
Qual a frota de veículos operacionais de VLT (composição) na Região Metropolitana ou Aglomeração Urbana?,1.3.5.A
Qual a capacidade média de um veículo de VLT (composição) na Região Metropolitana ou Aglomeração Urbana?,1.3.5.B
Qual a frota de veículos operacionais de monotrilho (composição) na Região Metropolitana ou Aglomeração Urbana?,1.3.6.A
Qual a capacidade média de um veículo de monotrilho (composição) na Região Metropolitana ou Aglomeração Urbana?,1.3.6.B
Qual a frota de veículos operacionais de aeromóvel (composição) na Região Metropolitana ou Aglomeração Urbana?,1.3.7.A
Qual a capacidade média de um aeromóvel (composição) na Região Metropolitana ou Aglomeração Urbana?,1.3.7.B
Qual a quilometragem percorrida no ano de 2023 pela frota de ônibus sob gestão do Governo do Estado na Região Metropolitana ou Aglomeração Urbana?,1.4.1
Qual a quilometragem percorrida no ano de 2023 pela frota de metrô sob gestão do Governo do Estado na Região Metropolitana ou Aglomeração Urbana?,1.4.2
Qual a quilometragem percorrida no ano de 2023 pela frota de trem sob gestão do Governo do Estado na Região Metropolitana ou Aglomeração Urbana?,1.4.3
Qual a quilometragem percorrida no ano de 2023 pela frota de barco sob gestão do Governo do Estado na Região Metropolitana ou Aglomeração Urbana?,1.4.4
Qual a quilometragem percorrida no ano de 2023 pela frota de VLT sob gestão do Governo do Estado na Região Metropolitana ou Aglomeração Urbana?,1.4.5
Qual a quilometragem percorrida no ano de 2023 pela frota de monotrilho sob gestão do Governo do Estado na Região Metropolitana ou Aglomeração Urbana?,1.4.6
Qual a quilometragem percorrida no ano de 2023 pela frota de aeromóvel sob gestão do Governo do Estado na Região Metropolitana ou Aglomeração Urbana?,1.4.7
Qual a idade média da frota do serviço de transporte por ônibus na Região Metropolitana ou Aglomeração Urbana? (em anos),2.1.1
Qual a idade média da frota do serviço de transporte por metrô na Região Metropolitana ou Aglomeração Urbana? (em anos),2.1.2
Qual a idade média da frota do serviço de transporte por trem na Região Metropolitana ou Aglomeração Urbana? (em anos),2.1.3
